Table 1
Room,Date,#Attendees,Start,Finish,Attendance Type
Room 133," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," April 29, 2025",10,7:00 AM,10:00 PM,Customer Meeting
Room 133," May 5, 2025",0,7:00 AM,10:00 PM,Customer Celebration
Room 133," May 8, 2025",10,12:00 AM,12:00 AM,Customer Meeting
Room 133," May 15, 2025",30,12:00 PM,1:30 PM,"Team Interventions (CAP, Workout, Etc...)"
Room 133," May 20, 2025",3,9:00 AM,10:00 PM,Telepresence
Room 133," May 30, 2025",0,9:00 AM,10:00 AM,Equipment Repair
Room 133," June 2, 2025",22,8:00 AM,12:30 PM,Employee Training
Room 133," June 3, 2025",20,7:00 AM,5:00 PM,Customer Meeting
Room 133," June 3, 2025",20,7:00 AM,5:00 PM,Customer Meeting
Room 133," June 18, 2025",70,7:00 AM,5:00 PM,Customer Training
Room 133," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 133," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 133," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 133," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 133," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 133," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 133," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 133," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 133," July 14, 2025",20,12:00 AM,12:00 AM,Employee Training
Room 133," July 14, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 133," July 22, 2025",35,12:00 AM,12:00 AM,"Community Svc (CSF, FAF, GE Vols)"
Room 133," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," July 30, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 133," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," July 30, 2025",20,7:00 AM,5:30 PM,Customer Meeting
Room 133," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 133," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 133," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 133," August 18, 2025",0,7:15 AM,5:00 PM,Customer Meeting
Room 133," August 21, 2025",25,7:00 AM,5:00 PM,Customer Meeting
Room 133," August 25, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 133," September 2, 2025",0,9:00 AM,10:00 AM,Equipment Repair
Room 133," September 8, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 133," September 16, 2025",30,7:15 AM,5:00 PM,Customer Meeting
Room 133," September 16, 2025",30,7:15 AM,5:00 PM,Customer Meeting
Room 133," September 24, 2025",100,12:00 AM,11:00 PM,All Hands
Room 133," September 24, 2025",15,6:30 AM,10:30 AM,Customer Meeting
Room 133," September 24, 2025",30,7:00 AM,10:00 PM,Customer Meeting
Room 133," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 133," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 133," September 26, 2025",0,7:00 AM,10:00 PM,All Hands
Room 133," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Room 133," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Room 128," March 18, 2024",100,7:00 AM,10:00 PM,Customer Meeting
Room 128," March 29, 2024",5,7:30 AM,7:45 AM,Customer Meeting
Room 128," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 128," May 7, 2024",5,7:00 AM,10:00 PM,Customer Meeting
Room 128," May 14, 2024",40,7:00 AM,10:00 PM,Customer Meeting
Room 128," June 12, 2024",45,7:00 AM,10:00 PM,All Hands
Room 128," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 128," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 128," November 12, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 128," December 3, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 128," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 128," January 14, 2025",5,7:00 AM,10:00 PM,Customer Meeting
Room 128," February 25, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 128," March 12, 2025",10,7:00 AM,10:00 PM,Customer Meeting
Room 128," March 18, 2025",50,7:00 AM,10:00 PM,Customer Celebration
Room 128," April 8, 2025",10,7:00 AM,10:00 PM,Customer Meeting
Room 128," April 23, 2025",10,8:00 AM,5:00 PM,Customer Meeting
Room 128," April 29, 2025",10,7:00 AM,10:00 PM,Customer Meeting
Room 128," May 7, 2025",10,3:00 PM,10:00 PM,Customer Meeting
Room 128," June 18, 2025",40,7:00 AM,10:00 PM,All Hands
Room 128," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 128," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 128," July 14, 2025",20,12:00 AM,12:00 AM,Employee Training
Room 128," July 22, 2025",35,12:00 AM,12:00 AM,"Community Svc (CSF, FAF, GE Vols)"
Room 128," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 128," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Room 128," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Room 128," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Room 128," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Room 128," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 128," August 18, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 128," September 22, 2025",10,7:00 AM,10:00 PM,All Hands
Room 128," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 128," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Room 129," February 29, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 129," March 18, 2024",100,7:00 AM,10:00 PM,Customer Meeting
Room 129," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 129," June 12, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 129," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 129," September 24, 2024",10,8:00 AM,6:00 PM,Customer Meeting
Room 129," October 7, 2024",18,7:00 AM,10:00 PM,Customer Meeting
Room 129," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 129," November 12, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 129," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 129," February 10, 2025",150,7:00 AM,10:00 PM,Customer Meeting
Room 129," February 25, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 129," March 18, 2025",50,7:00 AM,10:00 PM,Customer Celebration
Room 129," April 29, 2025",10,7:00 AM,10:00 PM,Customer Meeting
Room 129," May 7, 2025",10,3:00 PM,10:00 PM,Customer Meeting
Room 129," May 8, 2025",10,12:00 AM,12:00 AM,Customer Meeting
Room 129," June 11, 2025",12,7:15 AM,5:00 PM,All Hands
Room 129," June 18, 2025",40,7:00 AM,10:00 PM,All Hands
Room 129," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 129," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 129," July 14, 2025",20,12:00 AM,12:00 AM,Employee Training
Room 129," July 17, 2025",0,7:30 AM,10:00 PM,All Hands
Room 129," July 22, 2025",35,12:00 AM,12:00 AM,"Community Svc (CSF, FAF, GE Vols)"
Room 129," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 129," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Room 129," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Room 129," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Room 129," August 4, 2025",0,12:00 AM,12:00 AM,All Hands
Room 129," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 129," August 18, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 129," September 23, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 129," September 24, 2025",100,12:00 AM,11:00 PM,All Hands
Room 129," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 129," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Room 130," February 29, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 130," March 18, 2024",100,7:00 AM,10:00 PM,Customer Meeting
Room 130," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 130," June 12, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 130," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 130," September 24, 2024",10,8:00 AM,6:00 PM,Customer Meeting
Room 130," October 7, 2024",18,7:00 AM,10:00 PM,Customer Meeting
Room 130," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 130," November 12, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 130," December 3, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 130," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 130," February 10, 2025",150,7:00 AM,10:00 PM,Customer Meeting
Room 130," February 25, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 130," March 18, 2025",50,7:00 AM,10:00 PM,Customer Celebration
Room 130," April 29, 2025",10,7:00 AM,10:00 PM,Customer Meeting
Room 130," May 7, 2025",10,3:00 PM,10:00 PM,Customer Meeting
Room 130," May 8, 2025",10,12:00 AM,12:00 AM,Customer Meeting
Room 130," June 18, 2025",40,7:00 AM,10:00 PM,All Hands
Room 130," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 130," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 130," July 14, 2025",20,12:00 AM,12:00 AM,Employee Training
Room 130," July 17, 2025",0,7:30 AM,10:00 PM,All Hands
Room 130," July 22, 2025",35,12:00 AM,12:00 AM,"Community Svc (CSF, FAF, GE Vols)"
Room 130," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 130," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Room 130," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Room 130," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Room 130," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Room 130," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 130," August 18, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 130," September 23, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 130," September 24, 2025",100,12:00 AM,11:00 PM,All Hands
Room 130," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 130," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Room 131," January 8, 2024",10,8:00 AM,6:30 PM,Internal Meeting
Room 131," March 18, 2024",100,7:00 AM,10:00 PM,Customer Meeting
Room 131," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 131," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 131," August 12, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 131," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 131," November 12, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 131," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 131," February 25, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 131," March 18, 2025",50,7:00 AM,10:00 PM,Customer Celebration
Room 131," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 131," June 18, 2025",40,7:00 AM,10:00 PM,All Hands
Room 131," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 131," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 131," July 14, 2025",20,12:00 AM,12:00 AM,Employee Training
Room 131," July 22, 2025",35,12:00 AM,12:00 AM,"Community Svc (CSF, FAF, GE Vols)"
Room 131," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 131," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Room 131," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Room 131," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Room 131," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Room 131," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 131," August 18, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 131," September 23, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 131," September 24, 2025",100,12:00 AM,11:00 PM,All Hands
Room 131," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 131," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Room 132," January 8, 2024",10,8:00 AM,6:30 PM,internal meeting
Room 132," March 18, 2024",100,7:00 AM,10:00 PM,Customer Meeting
Room 132," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 132," June 12, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 132," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 132," July 29, 2024",8,7:00 AM,5:00 PM,Customer Meeting
Room 132," August 12, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 132," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 132," November 12, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 132," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 132," February 4, 2025",12,7:00 AM,10:00 PM,Customer Celebration
Room 132," February 10, 2025",150,7:00 AM,10:00 PM,Customer Meeting
Room 132," February 25, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 132," March 18, 2025",50,7:00 AM,10:00 PM,Customer Celebration
Room 132," April 22, 2025",6,7:45 AM,4:45 PM,Customer Meeting
Room 132," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 132," June 9, 2025",12,12:00 AM,12:00 AM,Customer Meeting
Room 132," June 18, 2025",12,8:00 AM,4:00 PM,Customer Meeting
Room 132," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 132," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 132," July 14, 2025",20,12:00 AM,12:00 AM,Employee Training
Room 132," July 22, 2025",35,12:00 AM,12:00 AM,"Community Svc (CSF, FAF, GE Vols)"
Room 132," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 132," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Room 132," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Room 132," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Room 132," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Room 132," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 132," August 18, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 132," September 8, 2025",12,7:00 AM,5:00 PM,Customer Training
Room 132," September 23, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Room 132," September 24, 2025",100,12:00 AM,11:00 PM,All Hands
Room 132," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 132," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Room 135," January 8, 2024",10,8:00 AM,6:30 PM,internal meeting
Room 135," February 12, 2024",20,8:00 AM,5:00 PM,Customer Meeting
Room 135," March 18, 2024",37,7:00 AM,10:00 PM,Customer Meeting
Room 135," March 25, 2024",15,7:00 AM,10:00 PM,Customer Meeting
Room 135," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 135," May 6, 2024",20,7:00 AM,10:00 PM,Customer Meeting
Room 135," May 13, 2024",20,7:00 AM,10:00 PM,Customer Meeting
Room 135," June 4, 2024",25,7:00 AM,10:00 PM,Customer Meeting
Room 135," June 12, 2024",45,7:00 AM,10:00 PM,All Hands
Room 135," June 26, 2024",15,8:00 AM,2:00 PM,Customer Meeting
Room 135," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 135," July 23, 2024",24,7:00 AM,10:00 PM,Customer Meeting
Room 135," August 13, 2024",30,12:00 AM,12:00 AM,Customer Meeting
Room 135," August 20, 2024",40,7:00 AM,7:30 AM,Customer Meeting
Room 135," August 27, 2024",20,7:30 AM,3:45 PM,Customer Celebration
Room 135," September 3, 2024",25,8:00 AM,5:00 PM,Customer Meeting
Room 135," October 7, 2024",18,7:00 AM,10:00 PM,Customer Meeting
Room 135," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 135," October 25, 2024",20,5:30 AM,3:30 PM,Customer Training
Room 135," November 12, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 135," December 3, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 135," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 135," January 14, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 135," February 10, 2025",150,7:00 AM,10:00 PM,Customer Meeting
Room 135," February 25, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 135," March 4, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 135," March 13, 2025",1,7:00 AM,10:00 PM,Equipment Repair
Room 135," March 31, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 135," April 7, 2025",25,10:00 AM,10:15 AM,Dry Run
Room 135," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 135," May 8, 2025",10,12:00 AM,12:00 AM,Customer Meeting
Room 135," May 30, 2025",0,9:00 AM,10:00 AM,Equipment Repair
Room 135," June 2, 2025",22,8:00 AM,12:30 PM,Employee Training
Room 135," June 18, 2025",70,7:00 AM,5:00 PM,Customer Training
Room 135," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Room 135," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Room 135," July 14, 2025",20,12:00 AM,12:00 AM,Employee Training
Room 135," July 22, 2025",35,12:00 AM,12:00 AM,"Community Svc (CSF, FAF, GE Vols)"
Room 135," July 28, 2025",0,7:00 AM,10:00 PM,All Hands
Room 135," July 30, 2025",20,7:00 AM,5:30 PM,Customer Meeting
Room 135," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Room 135," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Room 135," August 21, 2025",25,7:00 AM,5:00 PM,Customer Meeting
Room 135," August 25, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 135," September 2, 2025",0,9:00 AM,10:00 AM,Equipment Repair
Room 135," September 8, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 135," September 24, 2025",100,12:00 AM,11:00 PM,All Hands
Room 135," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Room 135," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Van Curler A," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Van Curler A," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Van Curler A," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," November 5, 2024",18,7:00 AM,5:00 PM,Customer Meeting
Van Curler A," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," February 12, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," February 24, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," March 18, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," June 3, 2025",20,7:00 AM,5:00 PM,Customer Meeting
Van Curler A," June 18, 2025",70,7:00 AM,5:00 PM,Customer Training
Van Curler A," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Van Curler A," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler A," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler A," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler A," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler A," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Van Curler A," August 18, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Van Curler A," September 8, 2025",0,7:00 AM,5:00 PM,Customer Meeting
Van Curler B," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Van Curler B," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Van Curler B," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," November 5, 2024",18,7:00 AM,5:00 PM,Customer Meeting
Van Curler B," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," February 12, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," February 24, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," March 18, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," June 3, 2025",20,7:00 AM,5:00 PM,Customer Meeting
Van Curler B," June 18, 2025",70,7:00 AM,5:00 PM,Customer Training
Van Curler B," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Van Curler B," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," July 29, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler B," July 30, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler B," July 31, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler B," August 4, 2025",0,7:00 AM,10:00 PM,All Hands
Van Curler B," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Van Curler B," August 18, 2025",0,7:00 AM,10:00 PM,Customer Meeting
Van Curler B," September 8, 2025",0,7:00 AM,5:00 PM,Customer Meeting
Schuyler," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Schuyler," May 13, 2024",20,7:00 AM,10:00 PM,Customer Meeting
Schuyler," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Schuyler," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Schuyler," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Schuyler," February 24, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Schuyler," April 28, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Schuyler," June 20, 2025",0,12:00 AM,12:00 AM,Employee Training
Schuyler," June 23, 2025",200,7:00 AM,10:00 PM,Customer Meeting
Schuyler," August 11, 2025",180,7:00 AM,5:00 PM,Employee Training
Schuyler," September 25, 2025",0,12:00 AM,11:30 PM,All Hands
Schuyler," September 29, 2025",0,12:00 AM,12:00 AM,All Hands
Glen," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Glen," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
